id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
0,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99
1,0,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft student with encarta premium 2008 complete package,,43.6
2,0,adobe after effects professional 7.0,adobe,999.0,adobe flash cs3 professional ( mac ),,699.0
3,1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95
4,1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
5,0,quickbooks premier non-profit edition 2005,intuit inc.,499.95,quickbooks ( r ),,199.99
6,0,mavis beacon typing 17 ( win/mac ),encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99
7,0,adobe premiere pro cs3,adobe,799.0,adobe soundbooth cs3 academic,,95.99
8,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
9,0,reader rabbit learning system 1st grade,encore software,29.99,dr. seuss reading learning system 2008 encore,,19.95
10,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design premium,,1865.99
11,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97
12,0,3d home architect landscape designer v8,encore software,29.99,encore inc 3d home architect home design deluxe version 9,,25.49
13,0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92
14,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft windows vista business full version,,249.95
15,0,adobe creative suite cs3 web standard,adobe,999.0,adobe creative suite 3 web standard complete package academic cd mac,,369.0
16,0,printmaster gold v 17.0,encore software,19.99,print master platinum v17,,29.9
17,0,microsoft windows xp professional full version with sp2,microsoft,299.99,adobe production premium cs3 software suite for windows professional editing software,,1698.95
18,0,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04
19,0,microsoft office & windows training professional,topics entertainment,49.95,adobe after effects cs3 professional software for windows effects software,,998.95
20,0,dk smart steps 3rd grade,global-software-publishing,9.99,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95
21,0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office 2004 std upgrade,,219.99
22,0,best of card games ( jewel case ),on-hand-software,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
23,0,instant immersion german audio,topics entertainment,,topics entertainment instant immersion italian 2.0,,17.55
24,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) money 2004 standard,,29.99
25,0,onone software pxl smartscale windows and macintosh ),onone software,,onone software inc. mpr-40212,onone software inc.,66.27
26,0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
27,1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95
28,0,microsoft word 2007 version upgrade,microsoft,109.95,word mac 2004 upgrade microsoft d48-00488,,97.36
29,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
30,1,hoyle : classic collection 2006,encore,19.99,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97
31,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design premium academic,,575.99
32,0,midway arcade treasures ( jewel case ),encore software,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59
33,0,digital vault,stompsoft inc.,29.99,digital video & audio prod book,sony-pictures-digital-entertainment,27.5
34,0,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft powerpoint mac 2004 version upgrade,,89.99
35,0,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,apple garageband jam pack : symphony orchestra,,95.99
36,0,microsoft asp net web matrix,microsoft,30.0,microsoft ( r ) word 2007,,109.99
37,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immersion japanese 2.0,,22.43
38,0,punch ! professional home design platinum v10,punch ! software,99.0,punch software 41100 punch ! home design architectural series 18,punch software,118.99
39,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immers french dlx 2,,27.57
40,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87
41,0,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58
42,0,digidesign music production toolkit ( pro tools le ),digidesign,495.0,apple/emagic logic pro 7.2 software music production software,,999.0
43,0,adobe creative suite cs3 master collection upsell,adobe,1999.0,adobe cs3 after effects,,1025.99
44,0,hoyle kids  games jc,encore,9.99,hoyle card games,,9.95
45,0,net ad creator,laughing bird,39.99,laughingbird the logo creator,,34.99
46,1,reel deal slots 2.0 for pc,phantom efx,9.99,phantom efx reel deal slots v 2.0,,7.36
47,0,adobe creative suite cs3 web standard [ mac ],adobe,999.0,adobe production premium cs3 software suite for mac av production software,,1698.95
48,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87
49,0,windows vista business spanish full version [ dvd ],microsoft,329.95,microsoft windows vista business full version,,249.95
50,0,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks ( r ) pro 2007 edition 3-user,,499.99
51,0,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,microsoft ( r ) office word 2004 for mac full version,,231.29
52,0,instant immersion spanish deluxe 2.0,topics entertainment,49.99,instant immersion italian 2.0,topics entertainment,20.99
53,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat v8 .0 professional for mac,,405.99
54,0,apple final cut studio 2 ( mac ),apple,1299.0,adobe flash cs3 professional ( mac ),,699.0
55,0,reference success deluxe 2006,topics entertainment,49.95,high school success deluxe 2006,,7.9
56,0,microsoft windows vista business 32-bit for system builders,microsoft,179.99,microsoft ( r ) windows vista ( tm ) home basic,,99.99
57,0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft ( r ) excel 2007,,109.99
58,0,peachtree by sage premium accounting 2007,sage software,499.99,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,,590.35
59,0,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 production premium upgrade,,822.99
60,0,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2
61,0,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95
62,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,pinnacle mobile media converter software for windows ipod software,,29.95
63,0,sibelius 4 professional edition,sibelius-software-ltd .,599.99,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95
64,0,microsoft entertainment pack ce,microsoft,49.5,entertainment partners ep budgeting for film,,415.99
65,0,adobe premiere pro 2.0,adobe,849.0,premiere pro cs3 mac upgrade,,320.25
66,0,microsoft office small business 2007,microsoft software,735.33,microsoft windows vista business retail no open box returns,,299.99
67,1,world of rainbow fish,global-software-publishing,19.99,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19
68,0,mcafee internet security suite 2007 3 users,mcafee,89.99,f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35
69,0,sonicwall gms standard edition 10 node license,sonicwall,,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92
70,0,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95,microsoft ( r ) windows vista ( tm ) home premium,,239.99
71,1,irispen express translator,iris,149.99,iris inc irispen express translator,,142.29
72,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft mappoint 2006 with gps locator ( pc ),,349.99
73,0,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,adobe dreamweaver cs3 upgrade windows,,236.74
74,0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft ( r ) office ultimate 2007,,539.95
75,0,microspot macdraft professional ( mac ),microspot ltd.,349.99,adobe acrobat v8 .0 professional for mac,,405.99
