,id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
0,0,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99
1,1,0,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft student with encarta premium 2008 complete package,,43.6
2,2,0,adobe after effects professional 7.0,adobe,999.0,adobe flash cs3 professional ( mac ),,699.0
3,3,1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95
4,4,1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
5,5,0,quickbooks premier non-profit edition 2005,intuit inc.,499.95,quickbooks ( r ),,199.99
6,6,0,mavis beacon typing 17 ( win/mac ),encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99
7,7,0,adobe premiere pro cs3,adobe,799.0,adobe soundbooth cs3 academic,,95.99
8,8,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
9,9,0,reader rabbit learning system 1st grade,encore software,29.99,dr. seuss reading learning system 2008 encore,,19.95
10,10,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design premium,,1865.99
11,11,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97
12,12,0,3d home architect landscape designer v8,encore software,29.99,encore inc 3d home architect home design deluxe version 9,,25.49
13,13,0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92
14,14,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft windows vista business full version,,249.95
15,15,0,adobe creative suite cs3 web standard,adobe,999.0,adobe creative suite 3 web standard complete package academic cd mac,,369.0
16,16,0,printmaster gold v 17.0,encore software,19.99,print master platinum v17,,29.9
17,17,0,microsoft windows xp professional full version with sp2,microsoft,299.99,adobe production premium cs3 software suite for windows professional editing software,,1698.95
18,18,0,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04
19,19,0,microsoft office & windows training professional,topics entertainment,49.95,adobe after effects cs3 professional software for windows effects software,,998.95
20,20,0,dk smart steps 3rd grade,global-software-publishing,9.99,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95
21,21,0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office 2004 std upgrade,,219.99
22,22,0,best of card games ( jewel case ),on-hand-software,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
23,23,0,instant immersion german audio,topics entertainment,,topics entertainment instant immersion italian 2.0,,17.55
24,24,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) money 2004 standard,,29.99
25,25,0,onone software pxl smartscale windows and macintosh ),onone software,,onone software inc. mpr-40212,onone software inc.,66.27
26,26,0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
27,27,1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95
28,28,0,microsoft word 2007 version upgrade,microsoft,109.95,word mac 2004 upgrade microsoft d48-00488,,97.36
