Beer_Name,Brew_Factory_Name,Style,ABV,id
C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,0
Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,1
Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,2
Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,3
Poor Richard s Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,4
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,5
Big Axe Red Ale,Big Axe Brewing Company,American Amber / Red Ale,6.80 %,6
Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 %,7
Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,8
Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,5.00 %,9
Aorta Ale ( Double Red Ale ),Short s Brewing Company,American Amber / Red Ale,8.30 %,10
Three Sheets Barleywine ( Barrel Aged ),Ballast Point Brewing Company,American Barleywine,9.00 %,11
Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,12
Bourbon Barrel Red Oak Ale,Tornado Brewing Company,American Amber / Red Ale,-,13
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,14
Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 %,15
The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,16
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,17
3 Sisters American Red Ale,Wild Ride Brewing Co. .,American Amber / Red Ale,6.00 %,18
Dread Double Red Ale,Bullfrog Brewery,American Amber / Red Ale,7.80 %,19
Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,20
Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,21
Texas Red Amber Ale,Big Texan Brewery,American Amber / Red Ale,4.50 %,22
6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,23
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,24
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,25
Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 %,26
Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co. .,American Amber / Red Ale,7.00 %,27
Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,9.40 %,28
Constanza _ ™ s Hoppy Red Ale,Bomber Brewing,American Amber / Red Ale,6.20 %,29
Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 %,30
Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,31
Bourbon Barrel Aged Auld Bitch,Tahoe Mountain Brewing Co. .,American Barleywine,11.00 %,32
Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 %,33
Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,34
Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,35
Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,36
Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 %,37
River Otter Ale,Union Station Brewery,American Amber / Red Ale,5.10 %,38
Deputation Imperial Red Ale,Brannon s Pub and Brewery,American Amber / Red Ale,8.00 %,39
Batch 200 _  Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 %,40
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,41
Old Cascade Amber Ale,Roosterfish Brewing Co. .,American Amber / Red Ale,5.50 %,42
Single Hop # 3 Amber Ale W / Citra,Three Palms Brewing Co. .,American Amber / Red Ale,6.80 %,43
Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,44
Bourbon Barrel Aged Redrum,Trinity Brewhouse,American Amber / Red Ale,9.50 %,45
Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 %,46
Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 %,47
Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,American Amber / Red Ale,6.10 %,48
Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,49
Arthur s Imperial Red Ale,Otto s Pub and Brewery,American Amber / Red Ale,6.90 %,50
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,51
Red Dragon Smoked Amber Ale,Hoppy Brewing Co. .,American Amber / Red Ale,5.50 %,52
Mr. Grain Jeans Organic Amber Ale,Outpost Natural Foods,American Amber / Red Ale,5.50 %,53
Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,54
Pizza Orgasmica Amber Ale,Devil s Canyon Brewing Company,American Amber / Red Ale,6.50 %,55
Iron Mike s Amber Ale,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,-,56
Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %,57
Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,8.50 %,58
Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,59
Eruption Imperial Red Ale,Worthy Brewing Co. .,American Amber / Red Ale,8.00 %,60
Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,6.70 %,61
The  Ginger  A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 %,62
North 45 Amber Ale,Petoskey Brewing Company,American Amber / Red Ale,5.80 %,63
Red s On Vacation,Barley John s Brew Pub,American Amber / Red Ale,5.44 %,64
Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 %,65
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,66
Port Chester Red Ale,Greenpoint Beerworks / Kelso of Brooklyn,American Amber / Red Ale,5.50 %,67
Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,68
Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 %,69
Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 %,70
Blood On The Blade Red IPA,Backpocket Brewing,American Amber / Red Ale,7.00 %,71
My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 %,72
Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,73
All American Red Ale,Centennial Beer Co. .,American Amber / Red Ale,5.00 %,74
Bulleit Bourbon Barrel Aged GKnight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,75
Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 %,76
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,77
Barrel Aged Imperial Red,Hale s Ales Brewery & Pub,American Amber / Red Ale,9.00 %,78
Mountian Goat Rare Breed India Red Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,6.60 %,79
Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %,80
Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 %,81
Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %,82
Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 %,83
Molly American Red Ale,New Helvetia Brewing Company,American Amber / Red Ale,5.00 %,84
Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,85
Barrel Aged Series : Barley Wine,Parallel 49 Brewing Company,American Barleywine,11.80 %,86
