idx	text_left	text_right	label
0	C N Red Imperial Red Ale Redwood Lodge American Amber / Red Ale 8.10 %	Kinetic Infrared Imperial Red Ale Kinetic Brewing Company American Strong Ale 9.30 %	0
1	Sanibel Red Island Ale Point Ybel Brewing Company American Amber / Red Ale 5.60 %	Point Ybel Sanibel Red Island Ale Point Ybel Brewing Company Irish Ale 5.60 %	1
2	Kniksen India Red Ale 7 Fjell Bryggeri American Amber / Red Ale 6.80 %	Boneyard Skunkape India Red Ale Boneyard Beer Company India Pale Ale &#40; IPA &#41; 6.50 %	0
3	Buffalo Trace Bourbon Barrel Aged Amber Ale Wolf Hills Brewing Company American Amber / Red Ale -	Ballast Point Calico Amber Ale - Rum Barrel Aged Ballast Point Brewing Company Amber Ale 5 %	0
4	Poor Richard s Ale Dry Dock Brewing Co. . American Amber / Red Ale 6.50 %	21st Amendment Poor Richards Ale 21st Amendment Brewery Traditional Ale 7 %	1
5	Redeemer Imperial Red Ale Boston Beer Works - Canal Street American Amber / Red Ale 8.20 %	Laurelwood Organic Deranger Imperial Red Ale Laurelwood Public House & Brewery American Strong Ale 8.60 %	0
6	Big Axe Red Ale Big Axe Brewing Company American Amber / Red Ale 6.80 %	Big Spruce Ready Yer Knot ... Regatta Red Ale Big Spruce Brewing Amber Ale -	0
7	Roundabout Imperial Red Ale Bonfire Brewing Co. . American Amber / Red Ale 8.80 %	Anacapa Riptide Imperial Red Ale Anacapa Brewing Company American Strong Ale 8 %	0
8	Merry Prankster Imperial Red Ale Rock Bottom Restaurant & Brewery American Amber / Red Ale 4.56 %	Tumbledown Imp Imperial Red Ale Tumbledown Brewing LLC American Strong Ale 7.80 %	0
9	Extra Special Red Ale Alpha Brewing Company American Amber / Red Ale 5.00 %	Ecliptic Phobos Extra Red Ale Ecliptic Brewing Amber Ale 5.20 %	0
10	Aorta Ale ( Double Red Ale ) Short s Brewing Company American Amber / Red Ale 8.30 %	Destihl Barrel Aged Deadhead Double Red Ale Destihl Brewery American Strong Ale -	0
11	Three Sheets Barleywine ( Barrel Aged ) Ballast Point Brewing Company American Barleywine 9.00 %	&#40; 512 &#41; Cabernet Barrel Aged Three &#40; 512 &#41; Brewing Company Abbey Tripel 9.50 %	0
12	Peak Organic The Maple Collaboration Peak Organic Brewing Company American Amber / Red Ale 7.00 %	Peak Organic The Maple Collaboration Shipyard Brewing Company Amber Ale 6.70 %	1
13	Bourbon Barrel Red Oak Ale Tornado Brewing Company American Amber / Red Ale -	Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged Ballast Point Brewing Company American Strong Ale 10 %	0
14	John Barleycorn - Bourbon Barrel Aged Mad River Brewing Company American Barleywine 12.50 %	AleSmith Old Numbskull - Bourbon Barrel Aged AleSmith Brewing Company Barley Wine 11 %	0
15	Royal Amber Ale Hops Grillhouse & Brewery American Amber / Red Ale 4.50 %	Kalamazoo Royal Amber Ale Bells Brewery Amber Ale -	1
16	The Gentle Mongoose Holy City Brewing American Amber / Red Ale 6.90 %	Holy City The Gentle Mongoose Holy City Brewing Amber Ale 6.90 %	1
17	Hop Around Imperial Red Ale Big Bay Brewing Co. . American Amber / Red Ale 9.00 %	ShuBrew Heart and Sole Imperial Red Ale ShuBrew American Strong Ale 6.80 %	0
18	3 Sisters American Red Ale Wild Ride Brewing Co. . American Amber / Red Ale 6.00 %	Saimaan Brewer_s Special American Red Ale Saimaan Juomatehdas Amber Ale 4.70 %	0
19	Dread Double Red Ale Bullfrog Brewery American Amber / Red Ale 7.80 %	Wildcard Double Down Imperial Red Ale Wildcard Brewing Company American Strong Ale 7.50 %	0
20	Mountain Series : Love Rhino ( Imperial Red Ale ) Breckenridge Brewery American Amber / Red Ale 8.90 %	Madhouse Venture Series Oak Aged Imperial Red Madhouse Brewing Company American Strong Ale 8.50 %	0
21	Cow Catcher Red Mountain Town Station Brewing Co. & Steakhouse American Amber / Red Ale -	Mountain Town Cow Catcher Red Ale Mountain Town Brewing Company Amber Ale 5.80 %	1
22	Texas Red Amber Ale Big Texan Brewery American Amber / Red Ale 4.50 %	William Street Red Sky Amber Ale William Street Beer Co. . Amber Ale 5 %	0
23	6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ) Kern River Brewing Company American Amber / Red Ale 8.00 %	Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged Cigar City Brewing Irish Ale 5 %	0
24	Saint Gleason Imperial Red Ale Abita Brewing Co. . American Amber / Red Ale -	Mission Carrack Imperial Red Ale Mission Brewery American Strong Ale 10.20 %	0
25	Bourbon Barrel Ro Shampo Imperial Red Ale Figure 8 Brewing American Amber / Red Ale -	Sick N Twisted Naughty Redhead Imperial Red Ale Sick N Twisted Brewing Company Amber Ale 8 %	0
26	Ruby River Ruby Red Ale Ruby River Steakhouse & Brewery American Amber / Red Ale 4.00 %	Pokertree Red Earl Ruby Ale Pokertree Amber Ale 5.50 %	0
27	Stone Liberty Station Outbreak Series : Red Ale Stone Brewing Co. . American Amber / Red Ale 7.00 %	Liberty High Point Rocket_s Red Ale Liberty Brewery & Grill - High Point Irish Ale -	0
28	Channary Imperial Red Ale Narrows Brewing Co. . American Amber / Red Ale 9.40 %	Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged Fulton Beer Company American Strong Ale 8.50 %	0
29	Constanza _ ™ s Hoppy Red Ale Bomber Brewing American Amber / Red Ale 6.20 %	Spiteful Angry Adam Hoppy Red Ale Spiteful Brewing Amber Ale 6 %	0
30	Arsenal Imperial Red Ale Great River Brewery American Amber / Red Ale 9.00 %	Wynwood Fox Imperial Red Ale Wynwood Brewing Company American Strong Ale 7.70 %	0
31	Double Dragon Imperial Red Ale Phillips Brewing Company American Amber / Red Ale 8.20 %	Edge Imperial Red Ale &#40; Spring Seasonal &#41; Edge Brewing Company American Strong Ale 8.50 %	0
32	Bourbon Barrel Aged Auld Bitch Tahoe Mountain Brewing Co. . American Barleywine 11.00 %	Aspen Bourbon Barrel Aged Conundrum Red Ale Aspen Brewing Company Amber Ale 6.50 %	0
33	Kuhnhenn Extraneous Ale Kuhnhenn Brewing Company American Barleywine 17.00 %	Kuhnhenn Extraneous Ale Kuhnhenn Brewing Barley Wine 17.50 %	1
34	Lavery Imperial Red Ale Lavery Brewing Company American Amber / Red Ale 8.20 %	Oak Creek King Crimson Imperial Red Ale Oak Creek Brewing Co. . American Strong Ale 9.50 %	0
35	Broadhead Bourbon Barrel Aged Red Bainbridge Island Brewing Company American Amber / Red Ale 8.50 %	Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged Ballast Point Brewing Company American Strong Ale 10 %	0
36	Ballistic Brewing Co. - Gorgon Red Ale Indian Wells Brewing Company American Amber / Red Ale 5.50 %	Ballistic Brewing Gorgon Red Ale Indian Wells Brewing Amber Ale 5.50 %	1
37	Hearthstone Red Rye Ale Hearthstone Brewery American Amber / Red Ale 5.00 %	Hearthstone Red Rye Ale Hearthstone Brewery Specialty Grain 5 %	1
38	River Otter Ale Union Station Brewery American Amber / Red Ale 5.10 %	Sacramento River Otter Ale Sacramento Brewing Company English Pale Ale 5.50 %	1
39	Deputation Imperial Red Ale Brannon s Pub and Brewery American Amber / Red Ale 8.00 %	Yukon You Only Live Once Imperial Red Ale Yukon Brewing Company Amber Ale 7.50 %	0
40	Batch 200 _  Olympus Mons Imperial Red Ale Due South Brewing Co. . American Amber / Red Ale 9.20 %	Three Heads Buffalo Soul Jah Imperial Red Ale Custom Brewcrafters American Strong Ale 9.20 %	0
41	Climax Noel - Imperial Red Ale Eel River Brewing Co. . American Amber / Red Ale 9.20 %	Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged Fulton Beer Company American Strong Ale 8.50 %	0
42	Old Cascade Amber Ale Roosterfish Brewing Co. . American Amber / Red Ale 5.50 %	Central Coast Old Mission Amber Ale Central Coast Brewing Amber Ale 5.50 %	0
43	Single Hop # 3 Amber Ale W / Citra Three Palms Brewing Co. . American Amber / Red Ale 6.80 %	Lancaster Hop Buggy Amber Ale Lancaster Brewing Co. . Amber Ale 5.60 %	0
44	Bourbon Barrel Ro Shampo Imperial Red Ale Figure 8 Brewing American Amber / Red Ale -	Spring House Atomic Raygun Imperial Red Ale Spring House Brewing Company American Strong Ale 8.30 %	0
45	Red Dirt Imperial Red Ale Wiley Roots Brewing Co American Amber / Red Ale 8.20 %	Rock Bottom Orland Park King of Hearts Imperial Red Ale Rock Bottom Orland Park American Strong Ale 7.60 %	0
46	Bourbon Barrel Aged Redrum Trinity Brewhouse American Amber / Red Ale 9.50 %	Aspen Bourbon Barrel Aged Conundrum Red Ale Aspen Brewing Company Amber Ale 6.50 %	0
47	Freedom Soho Red Freedom Brewery Ltd American Amber / Red Ale 4.70 %	Freedom Soho Red Freedom Amber Lager/Vienna 4.70 %	1
48	Heavyweight Ticklefight Champion Of The World Solemn Oath Brewery American Barleywine 12.00 %	Solemn Oath Heavyweight Ticklefight Champion of the World Solemn Oath Brewery Barley Wine 12 %	1
49	Barrel Aged Moustache Ride Red Flat 12 Bierwerks American Amber / Red Ale 6.10 %	Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged Fulton Beer Company American Strong Ale 8.50 %	0
50	Neudorf Red Ale Brasserie Bendorf American Amber / Red Ale -	Bendorf Neudorf Red Ale Bendorf Irish Ale 6 %	1
51	Arthur s Imperial Red Ale Otto s Pub and Brewery American Amber / Red Ale 6.90 %	Proof Abandoned Planet Imperial Red Ale Proof Brewing Company Amber Ale 7.50 %	0
