ltable_id,rtable_id,label
0,0,0
1,1,1
2,2,0
3,3,0
4,4,1
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,1
13,13,0
14,14,0
15,15,1
16,16,1
17,17,0
18,18,0
19,19,0
20,20,0
21,21,1
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,1
34,34,0
35,13,0
36,35,1
37,36,1
38,37,1
39,38,0
40,39,0
41,28,0
42,40,0
43,41,0
25,42,0
44,43,0
45,32,0
46,44,1
47,45,1
48,28,0
49,46,1
50,47,0
51,48,0
50,49,0
52,50,0
40,51,0
53,52,0
54,49,0
35,53,0
55,54,0
56,55,0
57,39,0
58,28,0
50,0,0
59,56,0
60,39,0
61,3,0
36,57,0
62,58,0
63,59,0
64,60,1
65,61,1
34,62,0
66,63,0
7,64,0
67,65,0
68,47,0
69,66,1
70,67,1
66,48,0
71,68,0
72,69,1
17,70,0
23,8,0
58,17,0
0,71,0
73,72,0
74,73,0
75,74,0
76,75,0
66,62,0
77,76,0
34,17,0
78,77,0
18,78,0
52,79,0
79,80,0
34,49,0
51,72,0
80,81,0
81,82,1
82,83,0
83,84,1
17,85,0
73,48,0
0,8,0
74,18,0
84,86,0
85,87,1
17,51,0
86,88,0
87,89,0
7,90,0
88,91,0
89,92,0
90,93,1
3,94,0
8,90,0
20,49,0
57,25,0
91,39,0
43,95,0
92,96,1
93,97,1
25,98,0
94,99,0
95,100,0
96,101,0
7,81,0
39,42,0
97,102,1
7,8,0
98,91,0
84,103,0
99,104,0
100,17,0
25,105,0
101,106,0
35,107,0
102,7,0
103,28,0
20,8,0
104,108,0
105,109,0
73,0,0
59,110,0
106,10,0
107,111,0
108,112,1
109,113,1
110,114,1
102,31,0
111,115,0
112,116,1
113,117,0
73,51,0
114,118,0
115,119,0
51,63,0
17,120,0
116,8,0
20,121,0
117,122,1
118,123,0
119,65,0
61,94,0
120,25,0
121,38,0
122,124,0
20,0,0
123,43,0
124,125,0
75,107,0
113,126,0
125,101,0
126,107,0
127,127,0
128,128,0
129,100,0
80,43,0
130,129,0
131,130,0
18,73,0
132,81,0
96,28,0
133,131,1
80,49,0
23,49,0
134,132,0
116,47,0
10,19,0
135,13,0
136,133,0
66,13,0
137,134,1
60,51,0
73,135,0
101,115,0
126,136,0
138,137,0
139,138,0
140,139,0
124,140,0
68,130,0
129,13,0
141,28,0
51,24,0
2,141,0
142,142,0
143,143,0
144,128,1
145,144,1
146,145,1
123,72,0
147,47,0
18,146,0
148,147,0
149,148,1
120,64,0
150,149,0
58,150,0
151,151,0
152,152,0
153,153,0
154,141,0
132,42,0
155,0,0
60,154,0
156,155,1
157,156,1
119,101,0
158,157,0
132,158,0
159,159,1
160,102,0
30,100,0
161,160,0
148,161,0
66,71,0
76,162,0
162,75,0
54,137,0
163,163,0
86,164,0
164,163,0
165,107,0
166,23,0
167,17,0
168,165,0
169,166,0
87,71,0
31,19,0
170,5,0
26,167,0
3,168,0
32,169,0
171,170,1
44,120,0
57,65,0
123,171,0
172,62,0
40,31,0
44,13,0
173,172,0
76,173,0
174,160,0
17,30,0
175,14,0
