title,authors,venue,year,id
web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002,0
oracle industrial exhibit,amy pogue,vldb,1998,1
extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",vldb,1999,2
efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",sigmod conference,1995,3
odefs : a file system interface to an object-oriented database,"narain h. gehani , william d. roome , h. v. jagadish",vldb,1994,4
emergent semantics and the multimedia semantic web,"william i. grosky , farshad fotouhi , d. v. sreenath",sigmod record,2002,5
dwms : data warehouse management system,narendra mohan,vldb,1996,6
data mining techniques,jiawei han,sigmod conference,1996,7
qursed : querying and reporting semistructured data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",sigmod conference,2002,8
advances in databases and information systems ( adbis ),"albertas caplinskas , johann eder , olegas vasilecas",sigmod record,2002,9
query unnesting in object-oriented databases,leonidas fegaras,sigmod conference,1998,10
data management for pervasive computing,"mitch cherniack , stanley b. zdonik , michael j. franklin",vldb,2001,11
secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",sigmod conference,1997,12
declarative updates of relational databases,weidong chen,acm trans . database syst .,1995,13
a taxonomy for secure object-oriented databases,"sebastiaan h. von solms , martin s. olivier",acm trans . database syst .,1994,14
what is the data warehousing problem ? ( are materialized views the answer ? ),"inderpal singh mumick , ashish gupta",vldb,1996,15
"enterprise objects framework , a second generation object-relational enabler",charly kleissner,sigmod conference,1995,16
effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,17
lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,2000,18
compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek r. narasayya",sigmod conference,2002,19
the algres testbed of chimera : an active object-oriented database system,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",sigmod conference,1995,20
