,id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
0,0,0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,
1,1,1,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997.0
2,2,1,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002.0
3,3,0,dna-miner : a system prototype for mining dna sequences,"j han , h jamil , y lu , l chen , y liao , j pei",sigmod conference,2001,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
4,4,0,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",
5,5,0,global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,distributed transaction support for workflow management applications,"j vonk , p grefen , e boertjes , p apers","procs . 10th int . conf . on database and expert system & hellip ; ,",
6,6,0,the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994.0
7,7,0,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000,xmill : an efficient compressor for xml data,"l hartmut , d suciu",,
8,8,0,database systems management and oracle8,c doherty,sigmod conference,1998,the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",
9,9,1,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e oneil , p oneil",sigmod conference,1995,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",1995.0
10,10,0,online association rule mining,c hidber,sigmod conference,1999,mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",
11,11,0,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
12,12,1,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
13,13,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
14,14,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms ,","t fukuda , y morimoto , s morishita , t tokuyama",proceedings of the acm sigmod international conference on,
15,15,0,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,temporal databases,rt snodgrass,,
16,16,0,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999,special section on data management issues in e-commerce,a dogac,"acm sigmod record ,",
17,17,1,storage and retrieval of xml data using relational databases,,,2001,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
18,18,0,banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0
19,19,0,answering queries using views : a survey,a halevy,vldb j.,2001,a scalable algorithm for answering queries using views,ay levy,,
20,20,1,path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003,yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,"y diao , m altinel , mj franklin , h zhang , p fischer",acm transactions on database systems ( tods ),
21,21,0,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",
22,22,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,
23,23,1,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
24,24,1,ariadne : a system for constructing mediators for internet sources,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",sigmod conference,1998,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,
25,25,0,asserting beliefs in mls relational models,"n jukic , s vrbsky",sigmod record,1997,learning probabilistic relational models,l getoorâ ? ¦,"lecture notes in computer science ,",2000.0
26,26,0,exploiting main memory dbms features to improve real-time concurrency control protocols,"ж ulusoy , a buchmann",sigmod record,1996,index concurrency control in firm real-time dbms,"b goyal , j haritsa , s seshadri , v srinivasan","proceedings of the international conference on very large & hellip ; ,",1995.0
27,27,0,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000,hierarchical prefix cubes for range-sum queries,"cy chan , ye ioannidis","proceedings of the 25th international conference on very & hellip ; ,",1999.0
28,28,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,parallel algorithm for mining outliers in large database,e hung,,
29,29,1,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",
30,30,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining association rules between sets of items in large databases . 1993,"r agrawal , t imielinski , a swami",proc . acm sigmod international conference on management of,
31,31,0,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,incremental cluster for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu","proc . of 24 thintâ ?? l conf . of vldb ,",
32,32,0,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb j.,2003,the tv-tree : an index structure forhigh-dimensional data,"ki lin , h jagadish , c faloutsos","the vldb journal ,",
33,33,0,picodmbs : scaling down database techniques for the smartcard,"c bobineau , l bouganim , p pucheral , p valduriez",vldb,2000,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon","sigmod record ,",1998.0
34,34,0,open object database management systems,,,1994,case for output management systems .,k schwaber,"computerworld. ,",1981.0
35,35,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,redundancy in spatial databases,ja orenstein,,
36,36,1,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994,dual-buffering strategies in object bases,"a kemper , d kossmann","vldb ,",1994.0
37,37,0,streaming queries over streaming data,"s chandrasekaran , m franklin",vldb,2002,processing complex aggregate queries over data streams,"a dobra , mn garofalakis , j gehrke , r rastogi","sigmod conference ,",2002.0
38,38,0,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,algorithms for mining association rules in bag databases,"py hsu , yl chen , cc ling","information sciencesâ ?? informatics and computer science : an & hellip ; ,",2004.0
39,39,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,the ssã · - tree : an improved index structure for similarity searches in a high-dimensional feature,"r kurniawati , js jin , ja shepherd",,
40,40,0,foreword : management of semistructured data,,,1997,lore : a database management system for semistructued data,"j mchugh , s abiteboul , r goldmanâ ? ¦","acm sigmod ,",
41,41,0,optimizing queries with universal quantification in object-oriented and object-relational databases,"j clauпen , a kemper , g moerkotte , k peithner",vldb,1997,maximal objects and the semantics of universal relation databases,"d maier , jd ullman","acm transactions on database systems ,",1983.0
42,42,0,index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,
43,43,0,an efficient method for performing record deletions and updates using index scans,c mohan,vldb,2002,an efficient indexing method for partitioned data,"d choy , c mohan","ibm research report , ibm almaden research center , january ,",
44,44,0,keynote address,,,1995,keynote address,t bailey,"women in aviation international conference , reno , nv , march ,",
45,45,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the international conference on very large & hellip ; ,",1996.0
46,46,0,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994,"support for polylingual persistence , interoperability and naming in object-oriented databases","a kaplan , jcp wileden","technical report tr-96-4 , university of massachusetts , computer",
47,47,0,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,performance analysis of a relational data base management system,"p hawthorn , m stonebraker",proceedings of the 1979 acm sigmod international conference,
48,48,0,meaningful change detection in structured data,"s chawathe , h garcia-molina",sigmod conference,1997,j. widom change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina",proc . of the acm sigmod int . conf . on management of,
49,49,0,editorial,,,2001,eic editorial,ps yu,"ieee transactions on knowledge and data engineering ,",2004.0
50,50,0,data management research at the mitre corporation,"a rosenthal , l seligman , c mccollum , b blaustein , b thuraisingham , e lafferty",sigmod record,1995,the management transition,l goff,"computerworld ,",
51,51,0,energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,implementation and research issues in query processing for wireless sensor networks,"w hong , s madden",,
52,52,0,dwms : data warehouse management system,n mohan,vldb,1996,the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",
53,53,0,information management for genome level bioinformatics,,,2001,implementing information management strategies .,cet rohm,"new directions for higher education ,",1986.0
54,54,1,recovering information from summary data,"c faloutsos , h jagadish , n sidiropoulos",vldb,1997,recovering information from summary data,"hv jagadish , nd sidiropoulost",,
55,55,0,efficiently mining long patterns from databases,r jr.,sigmod conference,1998,efficient timestamping in databases,"k torp , cs jensen , rt snodgrass","vldb journal , to",
56,56,0,editor s notes,l liu,sigmod record,2003,editors  notes,"r picciotto , rc rist","new directions for program evaluation ,",1995.0
57,57,1,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,a performance study of transitive closure algorithms,"s dar , r ramakrishnan","sigmod conference ,",1994.0
58,58,0,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,bayan : an arabic text database management system,"r king , a morfeq","proceedings of the 1990 acm sigmod international conference & hellip ; ,",1990.0
59,59,0,chair s message,,,1998,sigcas chair s message,cd martin,"computers and society ,",
60,60,1,database techniques for the world-wide web : a survey,"d florescu , a levy , a mendelzon",sigmod record,1998,mendelzon . database techniques for the world-w ide-wide : a survey,"d florescu , a levy","sigmod record ,",
61,61,0,guest editorial,,,2000,guest editor s introduction,k aberer,"acm sigmod record ,",2003.0
62,62,0,special issue on data mining for intrusion detection and threat analysis - guest editor s introduction,,,2001,guest editors  introduction : special section on mining and searching the web,"b liu , s chakrabarti","ieee transactions on knowledge and data engineering ,",2004.0
63,63,0,editorial,,,2001,guest editorial,c allocchio,"computer networks ,",2000.0
64,64,0,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny",sigmod conference,1996,efficient and effective clustering methods for spatial data mining,"tn raymond , j han","proc . of vldb conf ,",
65,65,0,infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,peersdi : a peer-to-peer information dissemination system,"k zhao , s zhou , l xu , w cai , a zhou",,
66,66,0,editor s notes,l liu,sigmod record,2002,editor s notes,r goldstein,"the american statistician ,",1996.0
