ltable_id,rtable_id,label
0,0,0
1,1,0
2,2,1
3,3,0
4,4,0
1,5,0
3,6,0
5,7,0
6,8,0
7,9,0
8,10,0
9,11,0
10,12,0
11,13,0
12,14,0
9,15,0
13,16,0
5,17,0
14,18,0
15,19,1
16,20,0
17,21,0
18,22,0
4,23,1
19,24,1
20,25,0
21,26,0
22,27,1
10,28,0
23,29,0
3,3,0
24,30,0
25,31,0
26,32,0
27,33,1
28,34,1
9,35,0
29,36,1
10,37,0
30,38,0
17,39,0
31,40,0
32,41,1
33,42,0
34,43,0
35,44,0
26,45,1
36,46,0
37,47,1
16,20,0
3,48,0
38,20,0
39,49,0
40,50,1
41,51,1
42,52,0
43,53,0
16,54,0
26,32,0
44,55,0
45,56,0
46,57,0
47,58,1
16,39,0
48,59,0
1,60,0
49,61,1
9,62,0
50,63,0
51,64,1
16,65,0
52,66,0
53,67,1
54,68,0
17,69,0
55,70,0
56,71,0
57,72,1
16,73,0
58,74,0
59,75,1
60,76,0
61,77,0
62,78,1
63,79,1
64,80,0
65,81,1
66,82,0
16,83,0
67,84,0
68,85,1
9,86,0
20,87,0
16,88,0
8,89,0
69,90,0
42,91,1
70,92,1
71,93,0
72,94,0
73,95,1
16,96,0
74,97,1
16,98,0
75,99,0
33,100,0
33,101,0
76,102,1
26,103,0
77,104,0
27,33,1
78,105,1
79,106,0
80,107,0
9,108,0
16,109,0
16,110,0
81,111,0
16,112,0
4,42,0
82,89,0
23,113,0
33,114,0
16,115,0
10,116,0
83,117,1
84,118,0
25,119,0
16,120,0
85,121,0
86,122,0
87,123,1
88,124,1
23,125,0
89,126,0
90,127,0
69,128,0
16,129,0
91,130,0
92,131,1
93,132,1
94,112,0
10,133,0
33,134,0
95,135,0
16,136,0
33,137,0
9,138,0
96,139,0
97,140,1
98,141,1
26,142,0
50,143,0
4,144,0
99,125,0
100,145,1
101,146,0
16,129,0
72,147,0
102,148,1
103,149,0
33,150,0
104,151,1
16,152,0
1,1,0
105,153,0
106,154,1
107,155,0
108,156,0
109,157,1
110,158,1
111,159,1
33,160,0
112,161,1
50,162,0
50,163,1
113,164,1
33,150,0
114,165,1
50,162,0
50,166,0
112,161,1
35,167,1
115,168,0
116,169,0
117,170,1
46,171,0
33,172,0
118,173,1
3,69,0
1,174,0
119,175,1
50,176,1
120,177,0
121,178,0
33,144,0
33,100,0
16,3,0
39,179,0
122,180,0
3,83,0
16,88,0
10,181,0
123,182,0
124,183,0
125,184,1
3,185,0
9,186,0
83,187,0
5,17,0
98,188,0
126,189,0
16,21,0
127,190,0
128,191,1
129,192,0
8,193,0
130,194,1
105,195,0
131,196,0
26,197,0
33,101,0
40,50,1
56,198,0
16,199,0
132,200,1
133,201,0
1,202,0
134,203,0
5,204,0
135,205,0
136,206,1
46,207,0
137,208,0
3,209,0
135,210,0
138,211,0
91,21,0
139,212,1
35,213,0
39,214,0
17,215,0
140,216,0
141,217,1
142,173,1
10,218,0
17,219,1
143,220,0
144,221,0
145,222,0
20,223,0
20,224,0
45,225,0
146,226,1
123,227,0
4,4,0
147,228,1
148,229,0
50,162,0
149,230,0
98,188,0
119,175,1
150,231,0
16,110,0
1,174,0
143,220,0
89,232,0
3,233,0
151,234,1
61,235,0
101,236,0
102,148,1
141,237,0
50,163,1
3,238,0
152,239,0
153,240,0
141,241,0
12,242,1
154,243,1
155,244,0
156,245,0
59,75,1
157,246,0
16,20,0
158,247,0
9,248,0
159,249,0
3,250,0
160,251,0
33,252,0
161,253,0
33,172,0
149,70,0
162,254,0
3,3,0
163,255,1
33,256,1
164,257,1
33,252,0
20,258,0
165,259,1
16,48,0
149,201,0
166,260,0
10,261,0
3,262,0
7,263,0
33,188,0
167,264,0
51,64,1
33,23,0
168,265,0
98,188,0
50,162,0
26,266,0
169,267,0
82,268,0
126,269,0
17,39,0
33,172,0
