title,manufacturer,price,id
microsoft visio standard 2007 version upgrade,microsoft,129.95,0
microsoft mappoint 2006 with gps,microsoft,349.0,1
adobe after effects professional 7.0,adobe,999.0,2
motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,3
illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,4
quickbooks premier non-profit edition 2005,intuit inc.,499.95,5
mavis beacon typing 17 ( win/mac ),encore software,19.99,6
adobe premiere pro cs3,adobe,799.0,7
adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,8
reader rabbit learning system 1st grade,encore software,29.99,9
adobe premiere pro cs3 upgrade,adobe,299.0,10
punch ! home design architectural series 18,punch ! software,129.99,11
3d home architect landscape designer v8,encore software,29.99,12
microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,13
microsoft office frontpage 2003 academic version windows ),microsoft,159.98,14
adobe creative suite cs3 web standard,adobe,999.0,15
printmaster gold v 17.0,encore software,19.99,16
microsoft windows xp professional full version with sp2,microsoft,299.99,17
microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,18
microsoft office & windows training professional,topics entertainment,49.95,19
dk smart steps 3rd grade,global-software-publishing,9.99,20
microsoft office small business 2007 full version,microsoft,449.95,21
best of card games ( jewel case ),on-hand-software,9.99,22
instant immersion german audio,topics entertainment,,23
microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,24
onone software pxl smartscale windows and macintosh ),onone software,,25
microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,26
microsoft word 2007 version upgrade,microsoft,109.95,27
adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,28
hoyle : classic collection 2006,encore,19.99,29
adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,30
midway arcade treasures ( jewel case ),encore software,9.99,31
digital vault,stompsoft inc.,29.99,32
microsoft windows vista business full version [ dvd ],microsoft,299.95,33
zero-g pro pack for garageband ( appleloops ),zero-g,169.95,34
microsoft asp net web matrix,microsoft,30.0,35
instant immersion german deluxe 2.0,topics entertainment,39.99,36
punch ! professional home design platinum v10,punch ! software,99.0,37
adobe creative suite cs3 design standard [ mac ],adobe,1199.0,38
microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,39
digidesign music production toolkit ( pro tools le ),digidesign,495.0,40
adobe creative suite cs3 master collection upsell,adobe,1999.0,41
hoyle kids  games jc,encore,9.99,42
net ad creator,laughing bird,39.99,43
reel deal slots 2.0 for pc,phantom efx,9.99,44
adobe creative suite cs3 web standard [ mac ],adobe,999.0,45
adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,46
windows vista business spanish full version [ dvd ],microsoft,329.95,47
quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,48
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,49
instant immersion spanish deluxe 2.0,topics entertainment,49.99,50
adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,51
apple final cut studio 2 ( mac ),apple,1299.0,52
reference success deluxe 2006,topics entertainment,49.95,53
microsoft windows vista business 32-bit for system builders,microsoft,179.99,54
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,55
peachtree by sage premium accounting 2007,sage software,499.99,56
adobe creative suite cs3 production premium,adobe,1699.0,57
microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,58
computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,59
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,60
sibelius 4 professional edition,sibelius-software-ltd .,599.99,61
microsoft entertainment pack ce,microsoft,49.5,62
adobe premiere pro 2.0,adobe,849.0,63
microsoft office small business 2007,microsoft software,735.33,64
world of rainbow fish,global-software-publishing,19.99,65
mcafee internet security suite 2007 3 users,mcafee,89.99,66
sonicwall gms standard edition 10 node license,sonicwall,,67
microsoft windows vista ultimate full version [ dvd ],microsoft,399.95,68
irispen express translator,iris,149.99,69
microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,70
adobe indesign cs3 upgrade from pagemaker,adobe,199.0,71
microsoft powerpoint 2004 ( mac ),microsoft,229.99,72
microspot macdraft professional ( mac ),microspot ltd.,349.99,73
adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,74
snap ! spelling ( jewel case ),topics entertainment,19.95,75
netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,,76
zonealarm internet security suite,zone labs,49.99,77
mediafour macdrive 6 for windows,mediafour corporation,49.99,78
microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,79
