Beer_Name,Brew_Factory_Name,Style,ABV,id
Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,9.30 %,0
Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,1
Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale &#40; IPA &#41;,6.50 %,2
Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5 %,3
21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,4
Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,8.60 %,5
Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,-,6
Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,8 %,7
Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,7.80 %,8
Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,5.20 %,9
Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,-,10
&#40; 512 &#41; Cabernet Barrel Aged Three,&#40; 512 &#41; Brewing Company,Abbey Tripel,9.50 %,11
Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,12
Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,13
AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 %,14
Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,15
Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,16
ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,6.80 %,17
Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Amber Ale,4.70 %,18
Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,American Strong Ale,7.50 %,19
Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,American Strong Ale,8.50 %,20
Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,21
William Street Red Sky Amber Ale,William Street Beer Co. .,Amber Ale,5 %,22
