title,authors,venue,year,id
form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,0
objectivity industrial exhibit,objectivity,very large data bases,1998,1
amalgamating knowledge bases,v. s. subrahmanian,acm transactions on database systems ( tods ),1994,2
efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995,3
unisql/x unified relational and object-oriented database system,won kim,international conference on management of data,1994,4
emergent semantics and the multimedia semantic web,"w. i. grosky , d. v. sreenath , f. fotouhi",acm sigmod record,2002,5
strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997,6
data mining : concepts and techniques by jiawei han and micheline kamber,"fernando berzal , nicolf &#225; s mat &#237; n",acm sigmod record,2002,7
extracting schema from semistructured data,"svetlozar nestorov , serge abiteboul , rajeev motwani",international conference on management of data,1998,8
amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,"amit sheth , robert meersman",acm sigmod record,2002,9
"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","georges gardarin , fei sha , zhao-hui tang",very large data bases,1996,10
data management for pervasive computing,"mitch cherniack , michael j. franklin , stanley b. zdonik",very large data bases,2001,11
databases and transaction processing : an application-oriented approach,"philip m. lewis , arthur bernstein , michael kifer",acm sigmod record,2002,12
enhanced abstract data types in object-relational databases,praveen seshadri,the vldb journal -- the international journal on very large data bases,1998,13
a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",acm transactions on database systems ( tods ),1994,14
algorithms for materialized view design in data warehousing environment,"jian yang , kamalakar karlapalem , qing li",very large data bases,1997,15
enterprise objects framework : a second generation object-relational enabler,charly kleissner,international conference on management of data,1995,16
priority assignment in real-time active databases,"rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham",the vldb journal -- the international journal on very large data bases,1996,17
odmg-93 : a standard for object-oriented dbmss,r. g. g. cattell,international conference on management of data,1994,18
compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek narasayya",international conference on management of data,2002,19
the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",acm sigmod record,1998,20
on wrapping query languages and efficient xml integration,"vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on",international conference on management of data,2000,21
is web-site management a database problem ?,"daniela florescu , alon y. levy , dan suciu",very large data bases,1998,22
converting relational to object-oriented databases,joseph fong,acm sigmod record,1997,23
controlling data warehouses with knowledge networks,"elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke",very large data bases,2000,24
