title,authors,venue,year,id
local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,0
on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997.0,1
"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002.0,2
n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,,3
mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",,4
distributed transaction support for workflow management applications,"j vonk , p grefen , e boertjes , p apers","procs . 10th int . conf . on database and expert system & hellip ; ,",,5
"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994.0,6
xmill : an efficient compressor for xml data,"l hartmut , d suciu",,,7
the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",,8
a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",1995.0,9
mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",,10
a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0,11
dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,,12
mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0,13
"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms ,","t fukuda , y morimoto , s morishita , t tokuyama",proceedings of the acm sigmod international conference on,,14
temporal databases,rt snodgrass,,,15
special section on data management issues in e-commerce,a dogac,"acm sigmod record ,",,16
storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0,17
distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0,18
a scalable algorithm for answering queries using views,ay levy,,,19
yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,"y diao , m altinel , mj franklin , h zhang , p fischer",acm transactions on database systems ( tods ),,20
a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",,21
a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,,22
a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0,23
