title,authors,venue,year,id
the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,0
on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,1
"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,2
dna-miner : a system prototype for mining dna sequences,"j han , h jamil , y lu , l chen , y liao , j pei",sigmod conference,2001,3
communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,4
global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,5
the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,6
an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000,7
database systems management and oracle8,c doherty,sigmod conference,1998,8
a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e oneil , p oneil",sigmod conference,1995,9
online association rule mining,c hidber,sigmod conference,1999,10
mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,11
dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,12
mining generalized association rules,"r srikant , r agrawal",vldb,1995,13
fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,14
on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,15
data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999,16
storage and retrieval of xml data using relational databases,,,2001,17
banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,18
answering queries using views : a survey,a halevy,vldb j.,2001,19
path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003,20
tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,21
a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,22
