name,addr,city,phone,type,class,id
white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners,719,0
la grenouille,3 e. 52nd st.,new york,212-752-1495,french ( classic ),623,1
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,5,2
havana sandwich shop,2905 buford hwy .,atlanta,404-636-4094,cuban,695,3
mulberry st.,17040 ventura blvd.,encino,818-906-8881,pizza,580,4
seryna,11 e. 53rd st.,new york,212-980-9393,japanese,59,5
la caravelle,33 w. 55th st.,new york,212-586-4252,french ( classic ),39,6
menchanko-tei,39 w. 55th st.,new york,212-247-1585,japanese,627,7
oceana,55 e. 54th st.,new york,212-759-5941,seafood,50,8
eats,600 ponce de leon ave.,atlanta,404-888-9149,italian,690,9
mel's drive-in,3355 geary st.,san francisco,415-387-2244,hamburgers,739,10
carey's corner,1215 powers ferry rd.,marietta,770-933-0909,hamburgers,686,11
original pancake house ( at ),4330 peachtree rd.,atlanta,404-237-4116,american,708,12
les celebrites,155 w. 58th st.,new york,212-484-5113,french ( classic ),42,13
mo better meatty meat,7261 melrose ave.,la,213-935-5280,hamburgers,579,14
andre's french restaurant,401 s. 6th st.,las vegas,702-385-5016,french ( classic ),656,15
rainbow room,30 rockefeller plaza,new york,212-632-5000,american ( new ),55,16
cafe claude,7 claude ln .,san francisco,415-392-3505,french bistro,97,17
nicky blair's,3925 paradise rd.,las vegas,702-792-9900,italian,668,18
rose of india,308 e. sixth st.,new york,212-533-5011,indian,638,19
campo santo,240 columbus ave.,san francisco,415-433-9623,mexican,724,20
moongate,3400 las vegas blvd. s.,las vegas,702-791-7352,chinese,666,21
greenwood's,1087 green st.,roswell,770-992-5383,southern/soul,693,22
petrossian,182 w. 58th st.,new york,212-245-2214,russian,52,23
steak house the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,72,24
rubin's red hots,15322 ventura blvd.,encino,818-905-6515,hot dogs,590,25
buzio's in the rio,3700 w. flamingo rd.,las vegas,702-252-7697,seafood,658,26
le bernardin,155 w. 51st st.,new york,212-489-1515,seafood,41,27
patina,5955 melrose ave.,los angeles,213-467-1108,californian,16,28
sterling brunch,3645 las vegas blvd. s.,las vegas,702-739-4651,eclectic,673,29
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,14,30
sparks steak house,210 e. 46th st.,new york,212-687-4855,steakhouses,641,31
palm the ( atlanta ),3391 peachtree rd. ne,atlanta,404-814-1955,steakhouses,709,32
abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,74,33
la caridad,2199 broadway,new york,212-874-2780,cuban,622,34
tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian,674,35
postrio,545 post st.,san francisco,415-776-7825,californian,109,36
brookhaven cafe,4274 peachtree rd.,atlanta,404-231-5907,vegetarian,682,37
monte carlo,3145 las vegas blvd. s.,las vegas,702-733-4524,french ( new ),665,38
cafe flore,2298 market st.,san francisco,415-621-8579,californian,722,39
masa's,648 bush st.,san francisco,415-989-7154,french ( new ),106,40
spago ( las vegas ),3500 las vegas blvd. s.,las vegas,702-369-6300,californian,670,41
mesa grill,102 fifth ave.,new york,212-807-7400,southwestern,47,42
michael's ( las vegas ),3595 las vegas blvd. s.,las vegas,702-737-7111,continental,664,43
cafe lalo,201 w. 83rd st.,new york,212-496-6031,coffeehouses,26,44
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental,87,45
fleur de lys,777 sutter st.,san francisco,415-673-7779,french ( new ),100,46
bobby & june's kountry kitchen,375 14th st.,atlanta,404-876-3872,southern/soul,680,47
boulevard,1 mission st.,san francisco,415-543-6084,american ( new ),96,48
carey's,1021 cobb pkwy . se,marietta,770-422-8042,hamburgers,685,49
alain rondelli,126 clement st.,san francisco,415-387-0408,french ( new ),94,50
coyote cafe ( las vegas ),3799 las vegas blvd. s.,las vegas,702-891-7349,southwestern,68,51
gray's papaya,2090 broadway,new york,212-799-0243,hot dogs,614,52
joe's,1023 abbot kinney blvd.,venice,310-399-5811,american ( new ),560,53
lespinasse ( new york ),2 e. 55th st.,new york,212-339-6719,asian,43,54
madame ching's,3300 las vegas blvd. s.,las vegas,702-894-7111,asian,662,55
tortillas,774 ponce de leon ave. ne,atlanta,404-892-0193,tex-mex,716,56
rae's,2901 pico blvd.,santa monica,310-828-7937,diners,589,57
hamburger mary's,1582 folsom st.,san francisco,415-626-1985,hamburgers,732,58
benita's frites,1433 third st. promenade,santa monica,310-458-2889,fast food,538,59
em eril's new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,659,60
canoe,4199 paces ferry rd.,atlanta,770-432-2663,american ( new ),684,61
ritz-carlton dining room ( buckhead ),3434 peachtree rd. ne,atlanta,404-237-2700,american ( new ),90,62
second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim,71,63
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american ( new ),88,64
ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french ( classic ),91,65
morton's of chicago ( las vegas ),3200 las vegas blvd. s.,las vegas,702-893-0703,steakhouses,667,66
tommy's,2575 beverly blvd.,la,213-389-9060,hamburgers,598,67
em erald garden restaurant,1550 california st.,san francisco,415-673-1155,vietnamese,730,68
sweet lady jane,8360 melrose ave.,la,213-653-7145,desserts,596,69
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,85,70
21 club,21 w. 52nd st.,new york,212-582-7200,american ( new ),23,71
valentino,3115 pico blvd.,santa monica,310-829-4313,italian,21,72
sarabeth's,1295 madison ave.,new york,212-410-7335,american,640,73
river cafe,1 water st.,brooklyn,718-522-5200,american ( new ),56,74
art's deli,12224 ventura blvd.,studio,818-762-1221,delis,1,75
union square cafe,21 e. 16th st.,new york,212-243-4020,american ( new ),65,76
alon's at the terrace,659 peachtree st.,atlanta,404-724-0444,sandwiches,676,77
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,0,78
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,3,79
virgil's real bbq,152 w. 44th st.,new york,212-921-9494,bbq,66,80
riviera,519 e. paces ferry rd.,atlanta,404-262-7112,mediterranean,712,81
march,405 e. 58th st.,new york,212-754-6272,american ( new ),46,82
wollensky's grill,205 e. 49th st.,new york,212-753-0444,steakhouses,653,83
duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops,551,84
buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental,657,85
caffe greco,423 columbus ave.,san francisco,415-397-6261,continental,723,86
le chardonnay ( los angeles ),8284 melrose ave.,los angeles,213-655-8880,french bistro,12,87
la cote basque,60 w. 55th st.,new york,212-688-6525,french ( classic ),40,88
chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,67,89
lutece,249 e. 50th st.,new york,212-752-2225,french ( classic ),44,90
soto,3330 piedmont rd.,atlanta,404-233-2005,japanese,714,91
cafe des artistes,1 w. 67th st.,new york,212-877-3500,french ( classic ),27,92
till erman the,2245 e. flamingo rd.,las vegas,702-731-4036,steakhouses,73,93
cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave,546,94
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,french ( new ),70,95
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french ( new ),92,96
edison cafe,228 w. 47th st.,new york,212-840-5000,diners,611,97
smith & wollensky,797 third ave.,new york,212-753-1530,steakhouses,62,98
roosevelt tamale parlor,2817 24th st.,san francisco,415-550-9213,mexican,742,99
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american ( new ),108,100
pisces,95 ave. a,new york,212-260-6660,seafood,54,101
citrus,6703 melrose ave.,los angeles,213-857-0034,californian,6,102
shun lee palace,155 e. 55th st.,new york,212-371-8844,chinese,60,103
le montrachet bistro,3000 paradise rd.,las vegas,702-732-5651,french bistro,69,104
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,8,105
l \  orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french ( classic ),11,106
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern,81,107
uncle bill's pancake house,1305 highland ave.,manhattan beach,310-545-5177,diners,599,108
fiore rotisserie & grille,3700 w. flamingo rd.,las vegas,702-252-7702,italian,660,109
