name,addr,city,phone,type,class,id
toulouse,b peachtree rd.,atlanta,404/351 -9533,french,92,0
gallagher's,228 w. 52nd st.,new york,212/245 -5336,american,254,1
center stage plaza hotel,1 main st.,las vegas,702/386 -2512,american,436,2
sa tsu ki,3043 buford hwy .,atlanta,404/325 -5285,asian,415,3
pinot bistro,12969 ventura blvd.,los angeles,818/990 -0500,french,18,4
china grill,60 w. 53rd st.,new york,212/333 -7788,american,219,5
lespinasse,2 e. 55th st.,new york,212/339 -6719,american,43,6
tang pavillion,65 w. 55th st.,new york,212/956 -6888,asian,356,7
aquavit,13 w. 54th st.,new york,212/307 -7311,continental,24,8
abbey,163 ponce de leon ave.,atlanta,404/876 -8532,international,379,9
fifty seven fifty seven,57 e. 57th st.,new york,212/758 -5757,american,239,10
grand cafe hotel monaco,501 geary st.,san francisco,415/292 -0101,american,473,11
horseradish grill,4320 powers ferry rd.,atlanta,404/255 -7277,southern,398,12
luna si,1931 peachtree rd.,atlanta,404/355 -5993,continental,405,13
bruno,240 e. 58th st.,new york,212/688 -4190,italian,195,14
eclipse,8800 melrose ave.,los angeles,310/724 -5959,californian,132,15
pacific dining car,6th st.,los angeles,213/483 -6000,american,153,16
rainbow room,30 rockefeller plaza,new york,212/632 -5000,or 212/632 -5100 american,55,17
cafe claude,7 claude la .,san francisco,415/392 -3505,french,97,18
yolie's,3900 paradise rd.,las vegas,702/794 -0700,steak houses,452,19
heera of india,595 piedmont ave. rio shopping mall,atlanta,404/876 -4408,asian,83,20
l \  osteria del forno,519 columbus ave.,san francisco,415/982 -1124,italian,490,21
bertolini's,3570 las vegas blvd. s,las vegas,702/735 -4663,italian,427,22
maykadeh,470 green st.,san francisco,415/362 -8286,greek and middle eastern,495,23
dawat,210 e. 58th st.,new york,212/355 -7555,asian,32,24
the bacchanal,3570 las vegas blvd. s,las vegas,702/731 -7525,only in las vegas,449,25
posto,14928 ventura blvd.,sherman oaks,818/784 -4400,italian,156,26
antonio's,3700 w. flamingo,las vegas,702/252 -7737,italian,423,27
ruth's chris,148 w. 51st st.,new york,212/245 -9600,american,338,28
tommy tang's,7313 melrose ave.,los angeles,213/937 -5733,asian,167,29
circus circus,2880 las vegas blvd. s,las vegas,702/734 -0410,buffets,437,30
l \  orangerie,903 n. la cienega blvd.,los angeles,310/652 -9770,french,11,31
vong,200 e. 54th st.,new york,212/486 -9592,american,373,32
margarita's mexican cantina,3120 las vegas blvd. s,las vegas,702/794 -8200,mexican,444,33
dining room ritz-carlton buckhead,3434 peachtree rd.,atlanta,404/237 -2700,international,90,34
dante's down the hatch buckhead,3380 peachtree rd.,atlanta,404/266 -1600,continental,393,35
helmand,430 broadway,san francisco,415/362 -0641,greek and middle eastern,479,36
ralph's diner,3000 las vegas blvd. s,las vegas,702/732 -6330,coffee shops/diners,448,37
yoyo tsumami bistro,1611 post st.,san francisco,415/922 -7788,french,530,38
seryna,11 e. 53rd st.,new york,212/980 -9393,asian,59,39
mikado,3400 las vegas blvd. s,las vegas,702/791 -7111,asian,446,40
bistro,3400 las vegas blvd. s,las vegas,702/791 -7111,continental,429,41
cafe fes,246 w. 4th st. at charles st.,new york,212/924 -7653,mediterranean,205,42
masa's,648 bush st.,san francisco,415/989 -7154,french,106,43
em press court,3570 las vegas blvd. s,las vegas,702/731 -7888,asian,438,44
mesa grill,102 5th ave. between 15th and 16th sts .,new york,212/807 -7400,american,47,45
chin's,3200 las vegas blvd. s,las vegas,702/733 -8899,asian,67,46
patina,5955 melrose ave.,los angeles,213/467 -1108,californian,16,47
triangolo,345 e. 83rd st.,new york,212/472 -4488,italian,363,48
gilliland's,2424 main st.,santa monica,310/392 -3901,american,135,49
nikolai's roof,255 courtland st. at harris st.,atlanta,404/221 -6362,continental,87,50
le bernardin,155 w. 51st st.,new york,212/489 -1515,french,41,51
faz,161 sutter st.,san francisco,415/362 -0404,greek and middle eastern,469,52
veni vidi vici,41 14th st.,atlanta,404/875 -8424,italian,93,53
cite,120 w. 51st st.,new york,212/956 -7100,french,220,54
oceana,55 e. 54th st.,new york,212/759 -5941,seafood,50,55
cafe roma,3570 las vegas blvd. s,las vegas,702/731 -7547,coffee shops/diners,433,56
manora,3226 mission st.,san francisco,415/861 -6224,asian,494,57
canter's,419 n. fairfax ave.,los angeles,213/651 -2030 .,american,122,58
hong kong villa,2332 clement st.,san francisco,415/752 -8833,asian,481,59
jack's,615 sacramento st.,san francisco,415/986 -9854,old san francisco,485,60
lutece,249 e. 50th st.,new york,212/752 -2225,french,44,61
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876 -1800,southern,86,62
valentino,3115 pico blvd.,santa monica,310/829 -4313,italian,21,63
lulu,816 folsom st.,san francisco,415/495 -5775,mediterranean,105,64
tomtom,3393 peachtree rd.,atlanta,404/264 -1163,continental,422,65
broadway deli,3rd st. promenade,santa monica,310/451 -0616,american,117,66
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261 -3662,international,88,67
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233 -7673,international,82,68
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296 -7465,american,110,69
fleur de jour,348 e. 62nd st.,new york,212/355 -2020,coffee bar,245,70
dix et sept,181 w. 10th st.,new york,212/645 -8023,french,228,71
jimmy's,201 moreno dr.,los angeles,310/552 -2394,continental,142,72
petrossian,182 w. 58th st.,new york,212/245 -2214,french,52,73
aqua,252 california st.,san francisco,415/956 -9662,seafood,95,74
victor's cafe,52 236 w. 52nd st.,new york,212/586 -7714,latin american,371,75
steak house,2880 las vegas blvd. s,las vegas,702/734 -0410,steak houses,72,76
sarabeth's kitchen,423 amsterdam ave. between 80th and 81st sts .,new york,212/496 -6280,american,344,77
river cafe,1 water st. at the east river,brooklyn,718/522 -5200,american,56,78
la grotta,2637 peachtree rd. . peachtree house condominium,atlanta,404/231 -1368,italian,85,79
cafe bizou,14016 ventura blvd.,sherman oaks,818/788 -3536,french,3,80
union square cafe,21 e. 16th st.,new york,212/243 -4020,american,65,81
taste of new orleans,889 w. peachtree st.,atlanta,404/874 -5535,southern,421,82
coyote cafe,3799 las vegas blvd. s,las vegas,702/891 -7349,southwestern,68,83
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739 -4111,buffets,424,84
island spice,402 w. 44th st.,new york,212/765 -1737,tel caribbean,37,85
beesley's of buckhead,260 e. paces ferry road,atlanta,404/264 -1334,continental,384,86
march,405 e. 58th st.,new york,212/754 -6272,american,46,87
joss,9255 sunset blvd.,los angeles,310/276 -1886,asian,143,88
rose pistola,532 columbus ave.,san francisco,415/399 -0499,italian,111,89
water club,500 e. 30th st.,new york,212/683 -3333,american,374,90
bone's,3130 piedmont road,atlanta,404/237 -2663,american,76,91
l \  absinthe,227 e. 67th st.,new york,212/794 -4950,french,277,92
carnival world,3700 w. flamingo rd.,las vegas,702/252 -7777,buffets,435,93
cafe bianco,1486 2nd ave. between 77th and 78th sts .,new york,212/988 -2655,coffee bar,199,94
palace court,3570 las vegas blvd. s,las vegas,702/731 -7547,continental,70,95
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733 -3111,coffee shops/diners,431,96
