title,manufacturer,price,id
adobe cs3 design standard upgrade,,413.99,0
microsoft student with encarta premium 2008 complete package,,43.6,1
adobe flash cs3 professional ( mac ),,699.0,2
motu digital performer dp5 software music production software,,319.95,3
adobe illustrator cs3 for mac academic,adobe-education-box,199.99,4
quickbooks ( r ),,199.99,5
broderbund mavis beacon teaches typing standard17,,22.99,6
adobe soundbooth cs3 academic,,95.99,7
adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65,8
dr. seuss reading learning system 2008 encore,,19.95,9
adobe cs3 design premium,,1865.99,10
punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97,11
encore inc 3d home architect home design deluxe version 9,,25.49,12
c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92,13
microsoft windows vista business full version,,249.95,14
adobe creative suite 3 web standard complete package academic cd mac,,369.0,15
print master platinum v17,,29.9,16
adobe production premium cs3 software suite for windows professional editing software,,1698.95,17
microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04,18
adobe after effects cs3 professional software for windows effects software,,998.95,19
smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95,20
microsoft office 2004 std upgrade,,219.99,21
geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,22
topics entertainment instant immersion italian 2.0,,17.55,23
microsoft ( r ) money 2004 standard,,29.99,24
onone software inc. mpr-40212,onone software inc.,66.27,25
visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,26
microsoft word 2007 upgrade ( pc ),,109.95,27
word mac 2004 upgrade microsoft d48-00488,,97.36,28
adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96,29
encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97,30
adobe cs3 design premium academic,,575.99,31
cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,32
digital video & audio prod book,sony-pictures-digital-entertainment,27.5,33
microsoft powerpoint mac 2004 version upgrade,,89.99,34
apple garageband jam pack : symphony orchestra,,95.99,35
microsoft ( r ) word 2007,,109.99,36
instant immersion japanese 2.0,,22.43,37
punch software 41100 punch ! home design architectural series 18,punch software,118.99,38
instant immers french dlx 2,,27.57,39
19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87,40
r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58,41
apple/emagic logic pro 7.2 software music production software,,999.0,42
adobe cs3 after effects,,1025.99,43
hoyle card games,,9.95,44
laughingbird the logo creator,,34.99,45
phantom efx reel deal slots v 2.0,,7.36,46
adobe production premium cs3 software suite for mac av production software,,1698.95,47
quickbooks ( r ) pro 2007 edition 3-user,,499.99,48
microsoft ( r ) office word 2004 for mac full version,,231.29,49
instant immersion italian 2.0,topics entertainment,20.99,50
adobe acrobat v8 .0 professional for mac,,405.99,51
high school success deluxe 2006,,7.9,52
microsoft ( r ) windows vista ( tm ) home basic,,99.99,53
microsoft ( r ) excel 2007,,109.99,54
sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,,590.35,55
adobe cs3 production premium upgrade,,822.99,56
395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2,57
lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95,58
pinnacle mobile media converter software for windows ipod software,,29.95,59
sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95,60
entertainment partners ep budgeting for film,,415.99,61
premiere pro cs3 mac upgrade,,320.25,62
microsoft windows vista business retail no open box returns,,299.99,63
world of rainbow fish ( a9839m2h ),global-software-publishing,19.19,64
f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35,65
01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92,66
microsoft ( r ) windows vista ( tm ) home premium,,239.99,67
iris inc irispen express translator,,142.29,68
microsoft mappoint 2006 with gps locator ( pc ),,349.99,69
adobe dreamweaver cs3 upgrade windows,,236.74,70
microsoft ( r ) office ultimate 2007,,539.95,71
adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0,72
spelling,,4.93,73
bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,,4746.16,74
panda software panda internet security 2007,,69.99,75
quark quarkxpress 7 upgrade for mac & windows,,244.99,76
microsoft ( r ) office 2004 for mac student and teacher edition,,146.95,77
microsoft office visio standard 2007 upgrade ( pc ),,129.95,78
quickbooks pro 2007 3 user,intuit,398.99,79
laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29,80
adobe cs3 flash professional upgrade,,205.99,81
redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99,82
encore software 11941 the print shop zoom,,17.97,83
norton antivirus 2007 3 user pack,,49.95,84
adobe acrobat v8 .0 professional for mac upgrade,,145.99,85
power production storyboard quick 5 software for mac and windows animation software,,299.0,86
adobe cs3 web standard,,1035.99,87
peachtree ( r ) compatible continuous checks-office accounting 12.0,,91.59,88
adobe contribute cs3 upgrade,,82.99,89
10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers -,,644.84,90
ultimate puzzle collection,,9.95,91
microsoft windows vista home basic upgrade ( pc ),,99.99,92
instant immers italian dlux 2 .,,36.11,93
roller coaster tycoon 3 for pc,,29.99,94
sage ( ptree ) premium accounting for manufacturing 2007 multi-user,,1180.37,95
corel ulead dvd workshop 2 authoring software,,299.95,96
apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple software,149.0,97
britannica deluxe 2008,,26.5,98
encore software 13871 tlc reader rabbit 1st grade learning system 2008,,17.97,99
adobe cs3 master collection upsell from cs1,,2054.99,100
adobe illustrator cs3 ( mac ),,599.0,101
microsoft windows vista business ( pc ),,299.99,102
instant immersion spanish deluxe 2.0 topics,,39.99,103
microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),microsoft,688.99,104
encore software 10590 adventure workshop preschool 1st grade 7th ed sb cs by riverdeep,,17.97,105
jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure,,19.99,106
aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ),,19.95,107
hoyle ( r ) card games 2007,,19.99,108
mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,,86.94,109
premiere pro cs3 mac,,808.15,110
sr2116010 safenet softremote vpn client license 5 users win,,184.57,111
adobe indesign cs3 for mac upgrade,,205.99,112
punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc,,45.97,113
web easy ( r ) professional 6,,49.99,114
microsoft ( r ) office 2004 for mac standard edition upgrade version,,234.95,115
microsoft ( r ) access 2007,,109.99,116
absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xp ),,85.97,117
punch software 84100 punch ! home design architectural series 4000 v. 10.0 architectural pc,,168.97,118
encore inc family tree maker 2008 platinum,,85.07,119
encore inc math advantage 2008,,33.89,120
adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,,149.95,121
adobe photoshop cs3 for mac upgrade,,189.99,122
imsi design llc turbocad mac 3d,,204.67,123
adobe after effects professional 7 software for windows effects software,,999.0,124
intuit inc quickbooks premier edition 2007 5 user,,1309.31,125
microsoft office 2004 software suite oem mac apple & mac software,,239.95,126
intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95,127
29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,128
microsoft w87-02380 office sbe 2007 win32,,400.34,129
f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,130
microsoft money 2007 home and business ( pc ),,89.99,131
peachtree ( r ) complete iii for dos 5.0-10 .0 continuous checks,,144.59,132
math missions : the race to spectacle city arcade ( grades k-2 ),,8.49,133
adobe captivate 2 software for windows presentation software,,598.95,134
math missions : the amazing arcade adventure ( grades 3-5 ),,12.95,135
merriam-webster s dictionary ( win/mac ) ( jewel case ) ( 10462 ),,9.59,136
peachtree ( r ) compatible continuous forms-accounting for windows 8.0-2004 version,,199.99,137
abacus usa/world extreme landscapes bundle,,38.43,138
sony creative software sound forge audio studio v. 8.0 complete product,,55.29,139
retrospect 7.5 prof win upg only pz24a0075,emc,54.68,140
make songwriter software music production software,,37.95,141
punch software 90500 home design studio mac,punch software,135.99,142
microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,143
adobe photoshop cs3 extended software full version for macintosh,,969.0,144
encore software 10881 family tree maker version 16 standard sb cs by family tree maker,,42.97,145
instant immersion 33 languages,,47.36,146
emedia music corp emedia intermediate guitar method,,49.21,147
ma888z/a final cut studio v. 2 version upgrade package 1 seat dvd mac,,460.7,148
steinberg studio case 2 music production system educational discount music production software,,164.95,149
instant landscape design 3.0,,17.9,150
software,,736.95,151
steinberg wavelab studio 6 audio editing software competitive crossgrade music production software,,199.95,152
autocad 2007 coursewarecustomizing the interface,,39.69,153
nova development ghw humorous greeting card factory,nova development,29.99,154
punch software 20100 punch ! 5 in 1 home design,punch software,35.99,155
adobe premiere pro cs3 video editing software for mac av production software,,798.95,156
sierrahome hse hallmark card studio special edition win 98 me 2000 xp,sierrahome,19.26,157
instant immers spanish dlux 2,,36.11,158
freeverse burning monkey solitaire 3d,,24.99,159
fallout collection ( dvd-rom ),,24.49,160
microsoft microsoft office pro 2004 software suite mac apple & mac software,,498.95,161
sony media software sound forge 9 digital audio production suite music production software,,299.95,162
adobe pagemaker 7.0 for mac version upgrade,,79.99,163
microsoft office accounting professional 2007 ( pc ),,229.95,164
