idx	text_left	text_right	label
0	toulouse b peachtree rd. atlanta 404/351 -9533 french 92	white house restaurant 3172 peachtree rd. ne atlanta 404-237-7601 diners 719	0
1	gallagher's 228 w. 52nd st. new york 212/245 -5336 american 254	la grenouille 3 e. 52nd st. new york 212-752-1495 french ( classic ) 623	0
2	center stage plaza hotel 1 main st. las vegas 702/386 -2512 american 436	chinois on main 2709 main st. santa monica 310-392-9025 pacific new wave 5	0
3	sa tsu ki 3043 buford hwy . atlanta 404/325 -5285 asian 415	havana sandwich shop 2905 buford hwy . atlanta 404-636-4094 cuban 695	0
4	pinot bistro 12969 ventura blvd. los angeles 818/990 -0500 french 18	mulberry st. 17040 ventura blvd. encino 818-906-8881 pizza 580	0
5	china grill 60 w. 53rd st. new york 212/333 -7788 american 219	seryna 11 e. 53rd st. new york 212-980-9393 japanese 59	0
6	lespinasse 2 e. 55th st. new york 212/339 -6719 american 43	la caravelle 33 w. 55th st. new york 212-586-4252 french ( classic ) 39	0
7	tang pavillion 65 w. 55th st. new york 212/956 -6888 asian 356	menchanko-tei 39 w. 55th st. new york 212-247-1585 japanese 627	0
8	aquavit 13 w. 54th st. new york 212/307 -7311 continental 24	oceana 55 e. 54th st. new york 212-759-5941 seafood 50	0
9	abbey 163 ponce de leon ave. atlanta 404/876 -8532 international 379	eats 600 ponce de leon ave. atlanta 404-888-9149 italian 690	0
10	fifty seven fifty seven 57 e. 57th st. new york 212/758 -5757 american 239	oceana 55 e. 54th st. new york 212-759-5941 seafood 50	0
11	grand cafe hotel monaco 501 geary st. san francisco 415/292 -0101 american 473	mel's drive-in 3355 geary st. san francisco 415-387-2244 hamburgers 739	0
12	horseradish grill 4320 powers ferry rd. atlanta 404/255 -7277 southern 398	carey's corner 1215 powers ferry rd. marietta 770-933-0909 hamburgers 686	0
13	luna si 1931 peachtree rd. atlanta 404/355 -5993 continental 405	original pancake house ( at ) 4330 peachtree rd. atlanta 404-237-4116 american 708	0
14	bruno 240 e. 58th st. new york 212/688 -4190 italian 195	les celebrites 155 w. 58th st. new york 212-484-5113 french ( classic ) 42	0
15	eclipse 8800 melrose ave. los angeles 310/724 -5959 californian 132	mo better meatty meat 7261 melrose ave. la 213-935-5280 hamburgers 579	0
16	pacific dining car 6th st. los angeles 213/483 -6000 american 153	andre's french restaurant 401 s. 6th st. las vegas 702-385-5016 french ( classic ) 656	0
17	rainbow room 30 rockefeller plaza new york 212/632 -5000 or 212/632 -5100 american 55	rainbow room 30 rockefeller plaza new york 212-632-5000 american ( new ) 55	1
18	cafe claude 7 claude la . san francisco 415/392 -3505 french 97	cafe claude 7 claude ln . san francisco 415-392-3505 french bistro 97	1
19	yolie's 3900 paradise rd. las vegas 702/794 -0700 steak houses 452	nicky blair's 3925 paradise rd. las vegas 702-792-9900 italian 668	0
20	heera of india 595 piedmont ave. rio shopping mall atlanta 404/876 -4408 asian 83	rose of india 308 e. sixth st. new york 212-533-5011 indian 638	0
21	l \  osteria del forno 519 columbus ave. san francisco 415/982 -1124 italian 490	campo santo 240 columbus ave. san francisco 415-433-9623 mexican 724	0
22	bertolini's 3570 las vegas blvd. s las vegas 702/735 -4663 italian 427	moongate 3400 las vegas blvd. s. las vegas 702-791-7352 chinese 666	0
23	maykadeh 470 green st. san francisco 415/362 -8286 greek and middle eastern 495	greenwood's 1087 green st. roswell 770-992-5383 southern/soul 693	0
24	dawat 210 e. 58th st. new york 212/355 -7555 asian 32	petrossian 182 w. 58th st. new york 212-245-2214 russian 52	0
25	the bacchanal 3570 las vegas blvd. s las vegas 702/731 -7525 only in las vegas 449	steak house the 2880 las vegas blvd. s. las vegas 702-734-0410 steakhouses 72	0
26	posto 14928 ventura blvd. sherman oaks 818/784 -4400 italian 156	rubin's red hots 15322 ventura blvd. encino 818-905-6515 hot dogs 590	0
27	antonio's 3700 w. flamingo las vegas 702/252 -7737 italian 423	buzio's in the rio 3700 w. flamingo rd. las vegas 702-252-7697 seafood 658	0
28	ruth's chris 148 w. 51st st. new york 212/245 -9600 american 338	le bernardin 155 w. 51st st. new york 212-489-1515 seafood 41	0
29	tommy tang's 7313 melrose ave. los angeles 213/937 -5733 asian 167	patina 5955 melrose ave. los angeles 213-467-1108 californian 16	0
30	circus circus 2880 las vegas blvd. s las vegas 702/734 -0410 buffets 437	sterling brunch 3645 las vegas blvd. s. las vegas 702-739-4651 eclectic 673	0
31	l \  orangerie 903 n. la cienega blvd. los angeles 310/652 -9770 french 11	matsuhisa 129 n. la cienega blvd. beverly hills 310-659-9639 seafood 14	0
32	vong 200 e. 54th st. new york 212/486 -9592 american 373	sparks steak house 210 e. 46th st. new york 212-687-4855 steakhouses 641	0
33	margarita's mexican cantina 3120 las vegas blvd. s las vegas 702/794 -8200 mexican 444	steak house the 2880 las vegas blvd. s. las vegas 702-734-0410 steakhouses 72	0
