ltable_id,rtable_id,label
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,8,0
11,10,0
12,11,0
13,12,0
14,13,0
15,14,0
16,15,0
17,16,1
18,17,1
19,18,0
20,19,0
21,20,0
22,21,0
23,22,0
24,23,0
25,24,0
26,25,0
27,26,0
28,27,0
29,28,0
30,29,0
31,30,0
32,31,0
33,24,0
34,32,0
35,33,0
36,34,0
37,35,0
38,36,0
39,5,1
13,37,0
40,38,0
41,21,0
42,39,0
40,29,0
4,25,0
43,40,1
44,41,0
45,42,1
46,43,0
47,14,0
48,44,0
49,2,0
50,45,1
24,31,0
51,27,1
52,46,0
53,47,0
40,41,0
54,27,0
55,8,1
0,12,0
56,24,0
57,48,0
58,49,0
59,50,0
40,51,0
22,29,0
36,52,0
56,21,0
60,53,0
34,12,0
61,54,0
44,55,0
62,56,0
63,57,0
64,58,0
65,0,0
66,59,0
41,60,0
67,61,0
65,62,0
32,63,0
68,64,0
69,65,0
56,66,0
70,46,0
71,23,0
72,67,0
73,13,0
74,68,0
15,69,0
34,70,0
75,71,0
76,41,0
63,72,1
77,73,0
78,74,1
79,70,1
41,24,0
37,41,0
44,24,0
80,75,0
81,76,1
82,65,0
82,77,0
40,66,0
46,51,0
31,78,0
83,24,0
84,29,0
44,43,0
26,79,0
85,80,0
86,81,0
73,82,0
87,83,0
65,32,0
88,84,0
41,85,0
89,86,0
47,87,0
22,43,0
7,88,0
83,89,0
35,37,0
90,90,0
56,55,0
91,91,0
92,92,0
13,0,0
14,82,0
93,93,0
94,94,0
95,21,0
35,62,0
96,60,0
97,1,0
56,95,0
98,82,0
65,96,0
99,97,0
34,62,1
100,98,1
101,40,0
102,99,0
103,70,0
104,100,0
105,101,1
106,102,0
14,90,0
87,103,0
0,33,0
19,104,0
46,55,0
107,105,1
31,106,1
108,107,1
109,108,0
27,109,0
110,65,0
56,89,0
37,43,0
36,110,0
40,43,0
64,111,1
25,85,0
111,80,0
112,112,0
67,113,0
37,29,0
113,114,0
114,36,0
115,115,1
73,116,0
116,39,0
117,117,0
41,43,0
118,13,0
118,23,0
9,56,0
119,118,0
22,35,0
120,119,0
6,116,0
26,75,0
0,120,0
91,57,0
121,121,0
122,122,0
8,123,1
41,51,0
4,124,0
93,26,0
123,125,1
19,57,0
13,32,0
124,83,0
125,103,0
4,79,0
1,97,0
111,13,0
33,35,0
102,126,0
44,21,0
126,26,0
25,60,0
40,89,0
76,127,0
89,128,1
127,88,1
128,53,0
106,87,1
129,129,0
122,82,0
44,60,0
130,23,0
83,21,0
131,130,0
132,92,0
22,95,0
133,108,0
35,120,0
134,131,0
135,132,0
65,107,0
83,35,0
91,84,0
1,71,0
40,60,0
121,94,0
119,133,0
136,134,1
33,29,0
24,90,0
81,135,0
47,28,1
119,77,0
134,79,0
34,136,0
46,29,0
56,51,0
95,38,0
137,135,0
138,66,0
139,137,0
65,120,0
131,138,0
109,139,0
135,100,0
140,44,1
25,29,0
33,95,0
141,140,0
46,85,0
98,90,0
46,66,0
134,4,0
142,42,0
100,31,0
143,141,0
22,24,0
144,39,0
145,27,0
146,142,0
32,143,0
147,13,0
106,28,0
46,24,0
34,107,0
137,71,1
84,35,0
148,144,0
149,145,0
150,30,1
76,24,1
103,107,0
151,146,0
76,35,0
152,23,0
67,64,1
33,85,0
153,147,0
112,103,0
154,32,0
155,80,0
156,132,0
6,88,0
157,108,0
36,130,0
158,148,0
33,60,0
159,27,0
25,51,0
160,39,0
161,149,0
57,150,0
162,8,0
26,131,0
163,151,1
46,21,0
43,152,0
30,24,0
68,153,0
164,154,0
165,102,0
166,83,0
155,31,0
167,8,0
168,1,0
37,21,0
103,136,0
169,7,0
170,155,0
22,55,0
57,156,0
80,79,1
95,95,1
151,157,0
32,90,0
97,135,0
103,134,0
171,158,0
70,135,0
6,103,0
24,137,1
172,26,0
173,150,0
87,82,1
84,89,0
44,38,0
103,120,1
169,123,0
98,116,1
174,1,0
36,138,0
154,133,0
175,159,1
176,100,0
95,60,0
103,37,0
84,21,0
147,23,0
29,14,0
177,104,1
19,53,0
178,160,0
96,66,0
179,133,0
179,65,0
180,139,0
43,161,0
22,89,0
117,146,1
102,15,0
56,41,0
181,162,0
96,24,0
40,85,0
121,163,1
65,70,0
182,164,1
183,92,0
43,165,0
76,130,0
183,112,0
69,166,1
30,89,0
5,88,0
171,14,0
15,158,0
184,167,1
41,95,0
37,38,0
185,168,0
82,133,0
186,129,0
26,124,0
187,63,0
62,169,0
188,67,0
189,170,1
32,8,0
190,39,0
40,35,0
15,28,0
56,60,0
67,81,0
167,123,0
44,51,0
118,155,0
191,171,1
35,70,0
13,70,0
30,95,0
137,1,0
102,155,0
154,33,0
84,24,0
151,172,0
192,13,0
154,62,0
37,24,0
0,96,1
96,38,0
193,97,0
83,43,0
131,110,0
76,29,0
34,0,0
62,173,1
165,28,0
143,174,1
194,175,1
37,89,0
192,176,0
67,177,0
128,57,0
46,60,0
93,109,0
195,53,0
121,162,0
196,178,0
197,179,0
198,129,0
32,83,0
15,102,0
95,51,0
177,18,0
199,93,0
200,127,0
102,180,0
6,54,1
98,54,0
201,181,1
202,182,0
73,23,1
154,136,0
203,28,0
204,26,0
195,171,0
6,90,0
148,67,0
61,90,1
154,37,0
35,134,0
205,127,0
144,183,0
87,23,0
25,21,0
34,33,0
0,70,0
187,184,0
206,185,1
30,60,0
62,186,0
207,63,0
41,29,0
187,187,0
106,14,0
41,66,0
154,12,0
208,188,0
209,189,1
13,96,0
73,80,0
103,96,0
210,190,0
84,51,0
84,43,0
196,67,0
76,66,0
35,0,0
178,191,0
65,136,0
76,60,0
0,136,0
211,192,0
27,193,0
14,31,0
212,194,0
13,120,0
68,61,0
95,85,0
213,145,0
203,102,1
91,110,0
214,195,1
10,179,0
47,158,0
30,35,0
215,196,0
165,87,0
33,21,0
69,171,0
111,31,0
165,158,0
30,66,0
216,179,0
76,51,0
123,84,0
201,112,0
217,197,0
16,198,0
205,184,0
74,114,1
218,199,1
166,82,0
219,194,0
40,55,0
220,42,0
44,89,0
84,66,0
29,87,0
221,140,0
59,194,0
25,41,0
25,55,0
138,78,1
203,14,0
96,43,0
171,69,0
6,137,0
32,137,0
46,89,1
222,5,0
197,23,0
40,24,0
13,65,0
168,71,0
223,147,0
109,110,0
44,85,0
98,23,0
204,93,0
83,66,0
125,90,0
65,12,0
154,120,0
134,75,1
224,200,1
155,155,0
178,201,0
225,71,0
130,13,0
226,152,0
0,32,0
203,158,0
144,54,0
38,190,0
34,120,0
76,43,0
131,159,0
96,89,0
170,80,0
227,179,0
70,1,0
181,94,0
228,202,0
229,109,0
73,137,0
106,158,0
172,93,0
80,124,0
110,118,0
30,55,0
9,186,0
